from_country,to_country,total_points,from_country_name,to_country_name,overall_points_from,norm_points_from,pct_points_from,overall_points_to,norm_points_to,pct_points_to,distance
am,al,0,Armenia,Albania,1218,0.0,0.0,905,0.0,0.0,22.56408401196539
at,al,28,Austria,Albania,3053,0.00917130691123485,0.917130691123485,905,0.030939226519337018,3.0939226519337018,5.461578059125637
au,al,0,Australia,Albania,870,0.0,0.0,905,0.0,0.0,112.08319029923535
az,al,28,Azerbaijan,Albania,1276,0.0219435736677116,2.19435736677116,905,0.030939226519337018,3.0939226519337018,23.800776169037434
be,al,25,Belgium,Albania,3416,0.007318501170960188,0.7318501170960188,905,0.027624309392265192,2.7624309392265194,15.452719990615137
bg,al,11,Bulgaria,Albania,1102,0.009981851179673321,0.9981851179673321,905,0.012154696132596685,1.2154696132596685,1.845054306726568
by,al,7,Belarus,Albania,1160,0.00603448275862069,0.603448275862069,905,0.0077348066298342545,0.7734806629834254,9.631377675019118
ch,al,87,Switzerland,Albania,3366,0.025846702317290554,2.5846702317290555,905,0.09613259668508287,9.613259668508286,9.916091218235891
cy,al,12,Cyprus,Albania,2668,0.004497751124437781,0.4497751124437781,905,0.013259668508287293,1.3259668508287292,12.518299017791682
de,al,20,Germany,Albania,3534,0.005659309564233163,0.5659309564233164,905,0.022099447513812154,2.209944751381215,8.270037662656874
dk,al,16,Denmark,Albania,2882,0.005551700208188758,0.5551700208188758,905,0.017679558011049725,1.7679558011049725,14.324375393218359
ee,al,1,Estonia,Albania,2030,0.0004926108374384236,0.04926108374384236,905,0.0011049723756906078,0.11049723756906078,15.782751508328962
es,al,0,Spain,Albania,3544,0.0,0.0,905,0.0,0.0,16.267835727320115
fi,al,9,Finland,Albania,3240,0.002777777777777778,0.2777777777777778,905,0.009944751381215469,0.9944751381215469,17.441573102464158
fr,al,2,France,Albania,3544,0.000564334085778781,0.0564334085778781,905,0.0022099447513812156,0.22099447513812157,9.744565802318354
gb,al,9,United Kingdom,Albania,3604,0.0024972253052164264,0.24972253052164264,905,0.009944751381215469,0.9944751381215469,20.037029397160566
ge,al,7,Georgia,Albania,1276,0.0054858934169279,0.54858934169279,905,0.0077348066298342545,0.7734806629834254,19.111590475826223
gr,al,102,Greece,Albania,2852,0.03576437587657784,3.576437587657784,905,0.112707182320442,11.2707182320442,0.0
hr,al,44,Croatia,Albania,2030,0.02167487684729064,2.167487684729064,905,0.04861878453038674,4.861878453038674,0.8721278887175372
hu,al,20,Hungary,Albania,1218,0.016420361247947456,1.6420361247947455,905,0.022099447513812154,2.209944751381215,3.3276745221384387
ie,al,4,Ireland,Albania,3422,0.0011689070718877848,0.11689070718877849,905,0.004419889502762431,0.44198895027624313,27.605298306732955
il,al,0,Israel,Albania,2988,0.0,0.0,905,0.0,0.0,15.964247046479555
is,al,21,Iceland,Albania,2436,0.008620689655172414,0.8620689655172413,905,0.023204419889502764,2.3204419889502765,40.11450027027174
it,al,54,Italy,Albania,2457,0.02197802197802198,2.197802197802198,905,0.05966850828729282,5.966850828729282,0.9254846944326075
lt,al,0,Lithuania,Albania,1740,0.0,0.0,905,0.0,0.0,11.827149579826617
lv,al,2,Latvia,Albania,1740,0.0011494252873563218,0.11494252873563218,905,0.0022099447513812156,0.22099447513812157,13.407742079342945
md,al,1,Moldova,Albania,1450,0.000689655172413793,0.06896551724137931,905,0.0011049723756906078,0.11049723756906078,8.375500509283544
me,al,69,Montenegro,Albania,986,0.06997971602434078,6.9979716024340775,905,0.07624309392265194,7.624309392265194,0.0
mk,al,127,North Macedonia,Albania,1566,0.08109833971902937,8.109833971902937,905,0.14033149171270717,14.033149171270717,0.0
nl,al,2,Netherlands,Albania,3384,0.000591016548463357,0.0591016548463357,905,0.0022099447513812156,0.22099447513812157,15.715044661672149
no,al,3,Norway,Albania,3511,0.000854457419538593,0.0854457419538593,905,0.0033149171270718232,0.3314917127071823,18.365104142548077
pl,al,9,Poland,Albania,1856,0.004849137931034483,0.4849137931034483,905,0.009944751381215469,0.9944751381215469,6.529457219633444
pt,al,10,Portugal,Albania,3203,0.0031220730565095223,0.3122073056509522,905,0.011049723756906077,1.1049723756906076,25.706462547386252
ro,al,10,Romania,Albania,1682,0.005945303210463734,0.5945303210463734,905,0.011049723756906077,1.1049723756906076,2.6415576526230757
rs,al,2,Serbia,Albania,1276,0.001567398119122257,0.1567398119122257,905,0.0022099447513812156,0.22099447513812157,0.29181142678114613
ru,al,3,Russia,Albania,1566,0.0019157088122605363,0.19157088122605362,905,0.0033149171270718232,0.3314917127071823,11.681149763963997
se,al,9,Sweden,Albania,3492,0.002577319587628866,0.25773195876288657,905,0.009944751381215469,0.9944751381215469,13.912800957776309
si,al,25,Slovenia,Albania,2030,0.012315270935960592,1.2315270935960592,905,0.027624309392265192,2.7624309392265194,4.962614070181135
sk,al,0,Slovakia,Albania,406,0.0,0.0,905,0.0,0.0,5.29613077049438
tr,al,31,Turkey,Albania,1972,0.015720081135902637,1.5720081135902637,905,0.03425414364640884,3.4254143646408837,5.028346243630319
ua,al,0,Ukraine,Albania,1392,0.0,0.0,905,0.0,0.0,5.915279282933033
al,am,25,Albania,Armenia,1508,0.016578249336870028,1.6578249336870028,1451,0.01722949689869056,1.722949689869056,22.56408401196539
at,am,26,Austria,Armenia,3053,0.008516213560432362,0.8516213560432362,1451,0.01791867677463818,1.7918676774638183,27.488707676097206
au,am,1,Australia,Armenia,870,0.0011494252873563218,0.11494252873563218,1451,0.0006891798759476223,0.06891798759476223,90.76988060762373
az,am,0,Azerbaijan,Armenia,1276,0.0,0.0,1451,0.0,0.0,0.0
be,am,64,Belgium,Armenia,3416,0.01873536299765808,1.873536299765808,1451,0.04410751206064783,4.410751206064782,38.611845954271914
bg,am,80,Bulgaria,Armenia,1102,0.07259528130671507,7.259528130671507,1451,0.05513439007580979,5.5134390075809785,15.250587787453338
by,am,52,Belarus,Armenia,1160,0.04482758620689655,4.482758620689655,1451,0.03583735354927636,3.5837353549276365,16.13608488839173
ch,am,5,Switzerland,Armenia,3366,0.0014854426619132501,0.14854426619132502,1451,0.0034458993797381117,0.34458993797381116,33.64400119462181
cy,am,62,Cyprus,Armenia,2668,0.023238380809595203,2.3238380809595203,1451,0.042729152308752585,4.272915230875259,10.988431324459947
de,am,26,Germany,Armenia,3534,0.007357102433503113,0.7357102433503113,1451,0.01791867677463818,1.7918676774638183,30.270330299285433
dk,am,3,Denmark,Armenia,2882,0.001040943789035392,0.1040943789035392,1451,0.002067539627842867,0.20675396278428668,34.13398988915061
ee,am,8,Estonia,Armenia,2030,0.003940886699507389,0.3940886699507389,1451,0.005513439007580979,0.5513439007580978,23.03505383035846
es,am,65,Spain,Armenia,3544,0.018340857787810385,1.8340857787810385,1451,0.044796691936595454,4.479669193659546,40.55115330079885
fi,am,6,Finland,Armenia,3240,0.001851851851851852,0.1851851851851852,1451,0.004135079255685734,0.41350792556857335,24.629345109735837
fr,am,117,France,Armenia,3544,0.03301354401805869,3.3013544018058694,1451,0.08063404548587182,8.063404548587181,34.0392488387086
gb,am,3,United Kingdom,Armenia,3604,0.000832408435072142,0.0832408435072142,1451,0.002067539627842867,0.20675396278428668,43.3493278765371
ge,am,125,Georgia,Armenia,1276,0.09796238244514106,9.796238244514106,1451,0.08614748449345279,8.61474844934528,0.0
gr,am,73,Greece,Armenia,2852,0.025596072931276297,2.5596072931276295,1451,0.05031013094417643,5.031013094417643,16.985053438986697
hr,am,4,Croatia,Armenia,2030,0.0019704433497536944,0.19704433497536944,1451,0.0027567195037904893,0.2756719503790489,24.54468893382732
hu,am,13,Hungary,Armenia,1218,0.010673234811165846,1.0673234811165846,1451,0.00895933838731909,0.8959338387319091,21.948897923556803
ie,am,6,Ireland,Armenia,3422,0.0017533606078316774,0.17533606078316774,1451,0.004135079255685734,0.41350792556857335,51.06064049885152
il,am,58,Israel,Armenia,2988,0.019410977242302542,1.9410977242302543,1451,0.03997243280496209,3.997243280496209,10.490899853390752
is,am,8,Iceland,Armenia,2436,0.003284072249589491,0.3284072249589491,1451,0.005513439007580979,0.5513439007580978,62.037392507194724
it,am,18,Italy,Armenia,2457,0.007326007326007326,0.7326007326007326,1451,0.012405237767057202,1.2405237767057202,25.119472234641066
lt,am,9,Lithuania,Armenia,1740,0.005172413793103448,0.5172413793103449,1451,0.006202618883528601,0.6202618883528601,22.066228246598065
lv,am,18,Latvia,Armenia,1740,0.010344827586206896,1.0344827586206897,1451,0.012405237767057202,1.2405237767057202,21.55600808667746
md,am,43,Moldova,Armenia,1450,0.029655172413793104,2.9655172413793105,1451,0.029634734665747762,2.963473466574776,14.56879365032223
me,am,25,Montenegro,Armenia,986,0.02535496957403651,2.535496957403651,1451,0.01722949689869056,1.722949689869056,23.313033404575812
mk,am,24,North Macedonia,Armenia,1566,0.01532567049808429,1.532567049808429,1451,0.016540317022742935,1.6540317022742934,20.631833492581958
nl,am,66,Netherlands,Armenia,3384,0.01950354609929078,1.950354609929078,1451,0.04548587181254307,4.548587181254307,38.39056682977134
no,am,4,Norway,Armenia,3511,0.0011392765593847907,0.11392765593847907,1451,0.0027567195037904893,0.2756719503790489,31.082208416458116
pl,am,40,Poland,Armenia,1856,0.021551724137931036,2.1551724137931036,1451,0.027567195037904894,2.7567195037904892,21.762700831789125
pt,am,9,Portugal,Armenia,3203,0.00280986575085857,0.280986575085857,1451,0.006202618883528601,0.6202618883528601,49.97267306227099
ro,am,25,Romania,Armenia,1682,0.014863258026159334,1.4863258026159334,1451,0.01722949689869056,1.722949689869056,14.502578649859093
rs,am,16,Serbia,Armenia,1276,0.012539184952978056,1.2539184952978055,1451,0.011026878015161957,1.1026878015161956,20.70544402598571
ru,am,91,Russia,Armenia,1566,0.05810983397190294,5.810983397190294,1451,0.06271536871123363,6.271536871123364,1.1658254618499628
se,am,17,Sweden,Armenia,3492,0.004868270332187858,0.4868270332187858,1451,0.01171605789110958,1.1716057891109581,31.231468467617315
si,am,12,Slovenia,Armenia,2030,0.005911330049261084,0.5911330049261084,1451,0.008270158511371467,0.8270158511371467,27.554572032485083
sk,am,7,Slovakia,Armenia,406,0.017241379310344827,1.7241379310344827,1451,0.004824259131633356,0.4824259131633356,22.492925673393902
tr,am,44,Turkey,Armenia,1972,0.02231237322515213,2.231237322515213,1451,0.030323914541695383,3.0323914541695385,0.0
ua,am,53,Ukraine,Armenia,1392,0.03807471264367816,3.807471264367816,1451,0.03652653342522398,3.652653342522398,7.817440613285908
al,at,7,Albania,Austria,1508,0.004641909814323607,0.4641909814323607,2366,0.0029585798816568047,0.2958579881656805,5.461578059125637
am,at,17,Armenia,Austria,1218,0.013957307060755337,1.3957307060755337,2366,0.007185122569737954,0.7185122569737954,27.488707676097206
au,at,24,Australia,Austria,870,0.027586206896551724,2.7586206896551726,2366,0.01014370245139476,1.0143702451394758,119.51137847684946
az,at,1,Azerbaijan,Austria,1276,0.0007836990595611285,0.07836990595611285,2366,0.00042265426880811494,0.042265426880811495,28.80402866055264
be,at,133,Belgium,Austria,3416,0.0389344262295082,3.8934426229508197,2366,0.05621301775147929,5.621301775147929,4.402895275002942
bg,at,37,Bulgaria,Austria,1102,0.03357531760435572,3.3575317604355717,2366,0.015638207945900255,1.5638207945900255,6.638075202295572
by,at,14,Belarus,Austria,1160,0.01206896551724138,1.206896551724138,2366,0.005917159763313609,0.591715976331361,7.211921243165298
ch,at,90,Switzerland,Austria,3366,0.026737967914438502,2.6737967914438503,2366,0.03803888419273035,3.8038884192730347,0.0
cy,at,53,Cyprus,Austria,2668,0.019865067466266866,1.9865067466266866,2366,0.022400676246830092,2.240067624683009,19.868699812570448
de,at,101,Germany,Austria,3534,0.028579513299377475,2.8579513299377477,2366,0.04268808114961961,4.268808114961961,0.0
dk,at,100,Denmark,Austria,2882,0.03469812630117974,3.4698126301179735,2366,0.042265426880811495,4.22654268808115,6.111298046881877
ee,at,49,Estonia,Austria,2030,0.02413793103448276,2.413793103448276,2366,0.020710059171597635,2.0710059171597637,11.7743315215097
es,at,91,Spain,Austria,3544,0.025677200902934537,2.5677200902934536,2366,0.038461538461538464,3.8461538461538463,7.975378009740445
fi,at,71,Finland,Austria,3240,0.021913580246913582,2.191358024691358,2366,0.030008453085376162,3.0008453085376163,12.707080031480091
fr,at,101,France,Austria,3544,0.02849887133182844,2.849887133182844,2366,0.04268808114961961,4.268808114961961,2.078726574295625
gb,at,126,United Kingdom,Austria,3604,0.03496115427302997,3.4961154273029966,2366,0.05325443786982249,5.325443786982249,8.972240048079838
ge,at,27,Georgia,Austria,1276,0.02115987460815047,2.115987460815047,2366,0.011411665257819104,1.1411665257819104,23.445204135538837
gr,at,83,Greece,Austria,2852,0.029102384291725104,2.9102384291725105,2366,0.03508030431107354,3.508030431107354,7.69413791476385
hr,at,17,Croatia,Austria,2030,0.008374384236453201,0.8374384236453201,2366,0.007185122569737954,0.7185122569737954,0.345699977071273
hu,at,38,Hungary,Austria,1218,0.031198686371100164,3.1198686371100166,2366,0.016060862214708368,1.6060862214708367,0.0
ie,at,103,Ireland,Austria,3422,0.03009935710111046,3.009935710111046,2366,0.04353338968723584,4.353338968723584,16.609795830454583
il,at,70,Israel,Austria,2988,0.023427041499330656,2.3427041499330654,2366,0.029585798816568046,2.9585798816568047,23.34974816041765
is,at,73,Iceland,Austria,2436,0.029967159277504107,2.9967159277504107,2366,0.03085376162299239,3.085376162299239,29.124567996541156
it,at,82,Italy,Austria,2457,0.03337403337403337,3.337403337403337,2366,0.034657650042265425,3.4657650042265424,0.0
lt,at,39,Lithuania,Austria,1740,0.022413793103448276,2.2413793103448274,2366,0.016483516483516484,1.6483516483516485,7.876197255445946
lu,at,27,Luxembourg,Austria,1486,0.01816958277254374,1.8169582772543742,2366,0.011411665257819104,1.1411665257819104,3.9207846380374574
lv,at,32,Latvia,Austria,1740,0.01839080459770115,1.839080459770115,2366,0.013524936601859678,1.3524936601859678,8.487577688823318
ma,at,3,Morocco,Austria,58,0.05172413793103448,5.172413793103448,2366,0.001267962806424345,0.12679628064243448,16.677829844762602
md,at,16,Moldova,Austria,1450,0.011034482758620689,1.103448275862069,2366,0.006762468300929839,0.6762468300929839,9.6401603353453
me,at,3,Montenegro,Austria,986,0.0030425963488843813,0.3042596348884381,2366,0.001267962806424345,0.12679628064243448,4.40418113924975
mk,at,5,North Macedonia,Austria,1566,0.0031928480204342275,0.31928480204342274,2366,0.002113271344040575,0.2113271344040575,6.6209809806441635
nl,at,89,Netherlands,Austria,3384,0.026300236406619385,2.6300236406619386,2366,0.03761622992392223,3.761622992392223,4.750421454131455
no,at,65,Norway,Austria,3511,0.018513244090002847,1.8513244090002847,2366,0.027472527472527472,2.7472527472527473,10.304250542916424
pl,at,30,Poland,Austria,1856,0.016163793103448277,1.6163793103448276,2366,0.01267962806424345,1.267962806424345,1.4467927837745518
pt,at,84,Portugal,Austria,3203,0.02622541367467999,2.6225413674679987,2366,0.03550295857988166,3.5502958579881656,16.868810107037557
ro,at,22,Romania,Austria,1682,0.013079667063020214,1.3079667063020213,2366,0.009298393913778529,0.9298393913778529,3.676763759678387
rs,at,17,Serbia,Austria,1276,0.013322884012539185,1.3322884012539185,2366,0.007185122569737954,0.7185122569737954,2.640333310628312
ru,at,17,Russia,Austria,1566,0.010855683269476373,1.0855683269476373,2366,0.007185122569737954,0.7185122569737954,6.4241984546648485
se,at,100,Sweden,Austria,3492,0.0286368843069874,2.86368843069874,2366,0.042265426880811495,4.22654268808115,6.472181377589017
si,at,50,Slovenia,Austria,2030,0.024630541871921183,2.4630541871921183,2366,0.021132713440405747,2.113271344040575,0.0
sk,at,6,Slovakia,Austria,406,0.014778325123152709,1.477832512315271,2366,0.00253592561284869,0.25359256128486896,0.0
tr,at,71,Turkey,Austria,1972,0.03600405679513185,3.6004056795131847,2366,0.030008453085376162,3.0008453085376163,10.934018306050767
ua,at,15,Ukraine,Austria,1392,0.010775862068965518,1.0775862068965518,2366,0.006339814032121725,0.6339814032121724,5.114675082730085
al,az,41,Albania,Azerbaijan,1508,0.027188328912466843,2.7188328912466844,1881,0.021796916533758637,2.1796916533758637,23.800776169037434
